code,name,group,author,date,has doc,
dec-08-cddb,DDT-8,unknown,unknown,1969-08,yes,
dec-08-ejac,SYMBOLIC EDITOR SA-200,unknown,unknown,unknown,no,
dec-08-lbaa,BINARY LOADER,SOFTWARE SERVICES GROUP,unknown,1967-05-10,yes,
dec-08-pdad,Disk System PIP-DF32,unknown,unknown,1969-12-30,no,
,,,,,,
maindec-08-d5kb,RK08 DISK FORMATTER,unknown,unknown,1970-11-19,no,
,,,,,,
maindec-812,TTY PUNCH TEST,unk,unk,1965-05-05,no,
maindec-828,LT08 TELEPRINTER TEST,unk,unk,1966-01-26,,
,,,,,,
Diagnostics/maindec-08-d01a,INSTRUCTION TEST PART 2A,unk,unk,1966-03-10,no,
Diagnostics/maindec-08-d01c,unk,unk,unk,unk,no,
Diagnostics/maindec-08-d02b,PDP-8 INSTRUCTION TEST PART 2B,DIAGNOSTIC GROUP,N/A,1968-01-12,yes,
Diagnostics/maindec-08-d04b,RANDOM JMP TEST,DIAGNOSTIC GROUP,N/A,1968-03-25,yes,
Diagnostics/maindec-08-d05b,RANDOM JMP-JMS TEST,DIAGNOSTIC GROUP,R.Green,1967-12-28,yes,
Diagnostics/maindec-08-d07b,RANDOM ISZ TEST,DIAGNOSTIC GROUP,R.Green,1968-03-25,yes,
Diagnostics/maindec-08-d0aa,PDP-8 INSTRUCTION TEST PART 3A (EAE),unk,unk,1968-03-13,no,
Diagnostics/maindec-08-d1ac,PDP-8 MEMORY POWER ON/OFF TEST,DIAGNOSTIC GROUP,M. Horovitz,1968-09-16,yes,
Diagnostics/maindec-08-d1b1,MEMORY ADDRESS TEST (LOW),DIAGNOSTIC GROUP,R.Green,1968-04-01,yes,
Diagnostics/maindec-08-d1b2,MEMORY ADDRESS TEST (HIGH),DIAGNOSTIC GROUP,R.Green,1968-04-01,yes,
Diagnostics/maindec-08-d1eb,"PDP-8, 8I EXTENDED MEMORY CHECKERBOARD",DIAGNOSTIC GROUP,J. W. Richardson,1968-05-01,yes,
Diagnostics/maindec-08-d1gd,"PDP-8, 8I, 8S EXTENDED MEMORY CONTROL",unk,John Vrobel,1970-07-27,"change notice, no",
Diagnostics/maindec-08-d1ha,PDP-8/8I EXTENDED MEMORY ADDRESS TEST,unk,unk,1968-10-01,no,
Diagnostics/maindec-08-d1kb,KP8I/KR01 POWER FAIL TEST,unk,unk,1971-01-29,no,
Diagnostics/maindec-08-d1l1,"BASIC PDP-8, 8/I MEMORY CHECKERBOARD (LOW)",DIAGNOSTIC GROUP,J. W. Richardson,1968-02-27,yes,
Diagnostics/maindec-08-d1l2,"BASIC PDP-8, 8/I MEMORY CHECKERBOARD (HIGH)",DIAGNOSTIC GROUP,J. W. Richardson,1968-06-07,yes,
Diagnostics/maindec-08-d1ma,MEMORY ADDRESS TEST,DIAGNOSTIC GROUP,R. Green/B. Hansen,1971-02-11,yes,
Diagnostics/maindec-08-d20h,CR03 CARD READER TEST,unk,unk,1968-05-23,no,
Diagnostics/maindec-08-d2pe,FAMILY OF 8 ASR 33/35 TELETYPE TEST PART 1,DIAGNOSTIC GROUP,N/A,1969-02-21,yes,
Diagnostics/maindec-08-d2qd,FAMILY OF 8 ASR 33/35 TELETYPE TEST PART 2,DIAGNOSTIC GROUP,N/A,1968-06-04,yes,
Diagnostics/maindec-08-d3bc,TC01 BASIC EXERCISER,unk,unk,1969-10-13,no,
Diagnostics/maindec-08-d3eb,TC01 EXTENDED MEMORY EXERCISER,DIAGNOSTIC GROUP,Edward P. Steinberger,1968-01-05,yes,
Diagnostics/maindec-08-d3ra,TC01 RANDOM EXERCISER,unk,unk,1967-01-09,no,
Diagnostics/maindec-08-d4a1,"PDP-8, 8I MEMORY PARITY CHECKERBOARD (LOW)",unk,unk,unk,no,
Diagnostics/maindec-08-d4a2,"PDP-8, 8I MEMORY PARITY CHECKERBOARD (HIGH)",unk,unk,unk,no,
Diagnostics/maindec-08-d5bb,DF32 DISCLESS LOGIC TEST,unk,unk,1967-11-03,no,
Diagnostics/maindec-08-d5cc,"DF32 DISC DATA, INTERFACE, ADDRESS, DATA TEST",unk,unk,1968-04-04,no,
Diagnostics/maindec-08-d5cd,"DF32/DF32D DISC DATA, INTERFACE, ADDRESS, DATA TEST",unk,unk,1970-03-16,no,
